sample_id,class,person_id,original_file,n_frames,landmark_path
Bertemu_86_20,Bertemu,86,20.npy,1,../data/processed/landmarks/Bertemu_86_20.npy
Bertemu_86_21,Bertemu,86,21.npy,1,../data/processed/landmarks/Bertemu_86_21.npy
Bertemu_86_24,Bertemu,86,24.npy,1,../data/processed/landmarks/Bertemu_86_24.npy
Bertemu_86_13,Bertemu,86,13.npy,1,../data/processed/landmarks/Bertemu_86_13.npy
Bertemu_86_27,Bertemu,86,27.npy,1,../data/processed/landmarks/Bertemu_86_27.npy
Bertemu_86_12,Bertemu,86,12.npy,1,../data/processed/landmarks/Bertemu_86_12.npy
Bertemu_86_26,Bertemu,86,26.npy,1,../data/processed/landmarks/Bertemu_86_26.npy
Bertemu_86_5,Bertemu,86,5.npy,1,../data/processed/landmarks/Bertemu_86_5.npy
Bertemu_86_17,Bertemu,86,17.npy,1,../data/processed/landmarks/Bertemu_86_17.npy
Bertemu_86_3,Bertemu,86,3.npy,1,../data/processed/landmarks/Bertemu_86_3.npy
Bertemu_86_22,Bertemu,86,22.npy,1,../data/processed/landmarks/Bertemu_86_22.npy
Bertemu_86_19,Bertemu,86,19.npy,1,../data/processed/landmarks/Bertemu_86_19.npy
Bertemu_86_10,Bertemu,86,10.npy,1,../data/processed/landmarks/Bertemu_86_10.npy
Bertemu_86_6,Bertemu,86,6.npy,1,../data/processed/landmarks/Bertemu_86_6.npy
Bertemu_86_2,Bertemu,86,2.npy,1,../data/processed/landmarks/Bertemu_86_2.npy
Bertemu_86_14,Bertemu,86,14.npy,1,../data/processed/landmarks/Bertemu_86_14.npy
Bertemu_86_16,Bertemu,86,16.npy,1,../data/processed/landmarks/Bertemu_86_16.npy
Bertemu_86_0,Bertemu,86,0.npy,1,../data/processed/landmarks/Bertemu_86_0.npy
Bertemu_86_25,Bertemu,86,25.npy,1,../data/processed/landmarks/Bertemu_86_25.npy
Bertemu_86_23,Bertemu,86,23.npy,1,../data/processed/landmarks/Bertemu_86_23.npy
Bertemu_86_11,Bertemu,86,11.npy,1,../data/processed/landmarks/Bertemu_86_11.npy
Bertemu_86_28,Bertemu,86,28.npy,1,../data/processed/landmarks/Bertemu_86_28.npy
Bertemu_86_1,Bertemu,86,1.npy,1,../data/processed/landmarks/Bertemu_86_1.npy
Bertemu_86_9,Bertemu,86,9.npy,1,../data/processed/landmarks/Bertemu_86_9.npy
Bertemu_86_4,Bertemu,86,4.npy,1,../data/processed/landmarks/Bertemu_86_4.npy
